pattern_id	category	tier	simplification_item	title	description	detect_simpl_items	detect_message_ids	detect_code_regex	recipe_ref	confidence_default	applies_modules	target_release_min	status
MATNR_EXTENSION	FIELD_LENGTH	R1	S4TWL - Material Number Field Length Extension	Material number extended to 40 characters	Code assuming MATNR is CHAR18 (offset/length, fixed-length MOVE, hardcoded 18) truncates or mismatches at 40 chars	S4TWL-MATNR-LENGTH			recipes/MATNR_EXTENSION.md	AUTO_OK	CROSS	S/4HANA 1511	ACTIVE
MATDOC_STOCK	DATA_MODEL	R2	S4TWL - Material Inventory Management (MM-IM)	Stock quantity fields aggregated into MATDOC	Stock quantities no longer persisted in MARD/MARC/MCHB; aggregated from MATDOC and exposed via NSDM compatibility views	S4TWL-MMIM-NSDM		(?i)\bFROM\s+(mard|marc|mchb|mkol|mslb|msku)\b	recipes/MATDOC_STOCK.md	AI_REVIEW	MM	S/4HANA 1610	ACTIVE
ADD_ORDER_BY	HANA	R3		Add ORDER BY where implicit row order is relied upon	On HANA a SELECT without ORDER BY is non-deterministic; code relying on implicit sort (READ BINARY SEARCH, first-row logic) can break			(?i)READ\s+TABLE.*BINARY\s+SEARCH	recipes/ADD_ORDER_BY.md	AI_REVIEW	CROSS	S/4HANA 1511	ACTIVE
ACDOCA_FIN	DATA_MODEL	R2	S4TWL - Universal Journal (Financials data model)	FI/CO totals and line-item access redirected to ACDOCA	Classic FI/CO totals tables replaced by the Universal Journal (ACDOCA) with compatibility views; direct GLT0/FAGLFLEXT/COEP access must change	S4TWL-FIN-DATAMODEL		(?i)\bFROM\s+(glt0|faglflexa|faglflext|cobk|coep|bsis|bsas)\b	recipes/ACDOCA_FIN.md	AI_REVIEW	FI	S/4HANA 1610	DRAFT
BP_CVI	DATA_MODEL	R2	S4TWL - Business Partner Approach	Customer/vendor master via Business Partner (CVI)	Customer/vendor are BP roles; create/change via XD0x/XK0x/legacy FMs must route through BP; direct KNA1/LFA1 reads usually still work but writes must not	S4TWL-BP-APPROACH		(?i)\b(kna1|knb1|knvv|lfa1|lfb1|lfm1)\b|SD_CUSTOMER_MAINTAIN_ALL	recipes/BP_CVI.md	AI_REVIEW	CROSS	S/4HANA 1511	DRAFT
SD_PRICING	DATA_MODEL	R2	S4TWL - Data Model Changes in SD Pricing	SD pricing conditions moved to PRCD_ELEMENTS	Pricing condition records persisted in PRCD_ELEMENTS instead of KONV; reads should target PRCD_ELEMENTS and conditions must never be written by direct table update	S4TWL-SD-PRICING		(?i)\b(from|join)\s+konv\b	recipes/SD_PRICING.md	AI_REVIEW	SD	S/4HANA 1511	DRAFT
FI_OPENITEM_INDEX	DATA_MODEL	R2	S4TWL - Data Model in FI (elimination of index tables)	FI AR/AP open-item index tables are compatibility views	BSID/BSAD/BSIK/BSAK eliminated as redundant; same-named read-only compatibility views over BSEG/ACDOCA; writes and append structures no longer possible	S4TWL-FIN-INDEXTABLES		(?i)\b(from|join)\s+(bsid|bsad|bsik|bsak)\b	recipes/FI_OPENITEM_INDEX.md	AI_REVIEW	FI	S/4HANA 1610	DRAFT
MATDOC_DOCS	DATA_MODEL	R2	S4TWL - Material Document Tables MKPF and MSEG	Material documents aggregated into MATDOC	MKPF/MSEG replaced by single MATDOC table with compatibility views; reads should target MATDOC, documents created only via goods-movement API	S4TWL-MMIM-MATDOC		(?i)\b(from|join)\s+(mkpf|mseg)\b	recipes/MATDOC_DOCS.md	AI_REVIEW	MM	S/4HANA 1610	DRAFT
CREDIT_MGMT	FUNCTIONAL	R3	S4TWL - Credit Management (FIN-FSCM-CR)	Classic credit management replaced by FSCM	FD32/KNKK/KNKA classic credit management not available; redesign onto SAP Credit Management (FIN-FSCM-CR, UKM_BP); functional change with no 1:1 mapping	S4TWL-FSCM-CREDIT		(?i)\b(knkk|knka)\b|\bfd3[0-9]\b	recipes/CREDIT_MGMT.md	MANUAL_ONLY	FI	S/4HANA 1511	DRAFT
OUTPUT_MGMT	FUNCTIONAL	R3	S4TWL - Output Management	NAST message control superseded by S/4 Output Management	NAST/TNAPR/RSNAST00 classic output coexists with BRF+-based S/4 Output Management; OM-enabled document outputs need redesign onto OM forms and determination	S4TWL-OUTPUT-MGMT		(?i)\bnast\b|rsnast|\btnapr\b	recipes/OUTPUT_MGMT.md	MANUAL_ONLY	CROSS	S/4HANA 1511	DRAFT
LIS_ANALYTICS	FUNCTIONAL	R3	S4TWL - LIS / SIS (Logistics Information System)	LIS info structures superseded by CDS embedded analytics	Persisted info structures S001..Snnn and statistics updates superseded by real-time CDS analytical views; custom S### reads and LIS updates need redesign	S4TWL-LIS		(?i)\b(from|join)\s+s[0-9]{3}\b|\bmcsi\b	recipes/LIS_ANALYTICS.md	MANUAL_ONLY	CROSS	S/4HANA 1511	DRAFT
COMPAT_VIEW_WRITE	DATA_MODEL	R2		Direct DML on tables now read-only compatibility views	UPDATE/MODIFY/INSERT/DELETE on standard tables now backed by read-only compatibility views (stock, material docs, pricing, FI index/totals) fails; route writes through the released API			(?i)\b(update|modify|insert\s+into|delete\s+from)\s+(mard|marc|mchb|mkpf|mseg|konv|bsid|bsad|bsik|bsak|glt0|faglflext)\b	recipes/COMPAT_VIEW_WRITE.md	MANUAL_ONLY	CROSS	S/4HANA 1610	DRAFT
